Simtime;TotalRx;TotalTx;PRR
1;0;0;-nan
2;0;0;-nan
3;468;468;1
4;1431;1431;1
5;2350;2376;0.989057
6;3305;3330;0.992492
7;4232;4257;0.994127
8;5186;5202;0.996924
9;6104;6120;0.997386
10;7067;7092;0.996475
11;8012;8028;0.998007
12;8939;8964;0.997211
13;9875;9891;0.998382
14;10838;10854;0.998526
15;11778;11808;0.997459
16;12723;12762;0.996944
17;13621;13707;0.993726
18;14449;14652;0.986145
19;15382;15588;0.986785
20;16333;16542;0.987365
21;17243;17451;0.988081
22;18204;18414;0.988596
23;19123;19341;0.988729
24;20050;20286;0.988366
25;21018;21249;0.989129
26;21914;22158;0.988988
27;22866;23112;0.989356
28;23790;24048;0.989271
29;24732;25002;0.989201
30;25661;25947;0.988978
31;26597;26892;0.98903
32;27569;27855;0.989733
33;28481;28791;0.989233
34;29406;29736;0.988902
35;30333;30681;0.988657
36;31239;31599;0.988607
37;32166;32544;0.988385
38;33120;33516;0.988185
39;34051;34461;0.988102
40;34996;35415;0.988169
41;35941;36351;0.988721
